Temperature,Humidity,Gas_Analog,Flame_Analog,Label
30.20,47.00,3107,4095,1
30.20,47.00,2960,4095,1
30.20,47.00,2805,4095,1
30.20,47.00,2763,4095,1
30.20,47.00,2631,4095,1
30.20,47.00,2526,4095,1
30.20,47.00,2410,4095,1
30.20,47.00,2437,4095,1
30.20,47.00,2347,4095,1
30.20,47.00,3216,4095,1
30.20,47.00,3057,4095,1
30.20,47.00,2816,4095,1
30.20,47.00,2758,4095,1
30.20,47.00,3141,4095,1
30.20,47.00,3188,4095,1
30.20,47.00,3050,4095,1
30.20,47.00,3155,4095,1
30.20,47.00,2631,4095,1
30.20,47.00,2526,4095,1
30.20,47.00,2410,4095,1
30.20,47.00,2437,4095,1
30.20,47.00,2347,4095,1
30.20,47.00,2231,4095,1
30.20,47.00,2078,4095,1
30.20,47.00,2042,4095,1
30.20,47.00,1967,4095,0
30.20,47.00,2763,4095,1
30.20,47.00,2631,4095,1
30.20,47.00,2526,4095,1
30.20,47.00,2410,4095,1
30.20,47.00,2437,4095,1
30.20,47.00,2347,4095,1
30.20,47.00,2231,4095,1
30.20,47.00,2078,4095,1
30.20,47.00,2042,4095,1
30.20,47.00,2234,4095,1
30.20,47.00,2173,4095,1
30.20,47.00,2073,4095,1
30.20,47.00,1983,4095,0
30.20,47.00,1854,4095,0
30.20,47.00,1876,4095,0
30.20,47.00,3041,4095,1
30.20,47.00,3826,4095,1
30.20,47.00,3643,4095,1
30.20,47.00,3437,4095,1
30.20,47.00,3216,4095,1
30.20,47.00,3057,4095,1
33.80,78.00,959,418,2
33.80,78.00,949,416,2
33.80,78.00,1021,410,2
33.80,78.00,1021,423,2
33.80,78.00,1021,416,2
33.80,78.00,962,416,2
33.80,78.00,1010,417,2
33.80,78.00,1015,432,2
33.80,78.00,1004,418,2
33.80,78.00,962,413,2
33.80,78.00,895,419,2
33.80,78.00,959,418,2
33.80,78.00,949,416,2
33.80,78.00,1021,410,2
33.80,78.00,886,415,2
33.80,78.00,837,422,2
33.80,78.00,880,409,2
33.80,78.00,824,429,2
33.80,78.00,880,411,2
26.70,52.00,782,415,2
26.70,52.00,774,426,2
26.70,52.00,784,466,2
26.70,52.00,774,426,2
26.70,52.00,746,331,2
26.70,52.00,782,415,2
26.70,52.00,774,426,2
26.70,52.00,780,441,2
26.70,52.00,784,432,2
26.70,52.00,746,421,2
26.70,52.00,782,415,2
26.70,52.00,774,426,2
26.70,52.00,774,426,2
26.70,52.00,780,416,2
30.20,47.00,1967,455,2
30.20,47.00,1863,453,2
30.20,47.00,1947,445,2
30.20,47.00,1943,467,2
30.20,47.00,1967,434,2
30.20,47.00,1873,456,2
30.20,47.00,1867,446,2
30.20,47.00,1953,432,2
30.20,47.00,1987,447,2
30.20,47.00,1893,483,2
30.20,47.00,1997,426,2
30.20,47.00,1879,485,2
30.20,47.00,1865,416,2
30.20,47.00,1966,459,2
30.20,47.00,1989,435,2
30.20,47.00,1968,431,2
30.20,47.00,1987,419,2
30.20,47.00,1983,439,2
30.20,47.00,1877,474,2
30.20,47.00,1897,426,2
30.20,47.00,1968,465,2
30.20,47.00,1869,453,2
30.20,47.00,2145,465,2
30.20,47.00,2013,453,2
